place_id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?,photo,address
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,436,0,425.86112822668093,2,4.2,0,20,0,['CmRaAAAA07-Dd3vJcbCTlo-y6Hc5lvP3FwZ-c9q7EzI3BcdC80Dr6-fkeQ8tQOoFaq1ra6wY6jns7TUjWolfFs9dC3OVORmzQUlou3mbDN-jh80r4zFO47_Pyr94-k_dbGil7SqiEhCOmGusd4yOEZ-7UgfdKhXrGhS1iuy0QU6DyoEqEXieGa1spQUhtQ'],"27 Smith Street, Brooklyn"
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,436,0,425.86112822668093,2,4.2,0,20,0,['CmRaAAAA07-Dd3vJcbCTlo-y6Hc5lvP3FwZ-c9q7EzI3BcdC80Dr6-fkeQ8tQOoFaq1ra6wY6jns7TUjWolfFs9dC3OVORmzQUlou3mbDN-jh80r4zFO47_Pyr94-k_dbGil7SqiEhCOmGusd4yOEZ-7UgfdKhXrGhS1iuy0QU6DyoEqEXieGa1spQUhtQ'],"27 Smith Street, Brooklyn"
ChIJ5be_-0hawokR5TcyaTRDaL4,Chipotle Mexican Grill,600,0,483.52139917269545,1,4,0,30,0,['CmRaAAAAQ0fEZqttTajRnEWmOK3q2Qjp08t0R9Sr4BD5J1x_4YOF2ZdOtZ96EX6LmHyhSI6A15KKs-3V2YptmcbuAo2cNfMesSqRHiqcopZ31gQDncVjpcSJn2JBa-rUmXtdvMNoEhDmJRwgKLuko-tptSbNV9qpGhRCGI5hsBRup3V4xXE8I1n8fgcl-w'],"185 Montague Street, Brooklyn"
ChIJ5be_-0hawokR5TcyaTRDaL4,Chipotle Mexican Grill,600,0,483.52139917269545,1,4,0,90,0,['CmRaAAAAQ0fEZqttTajRnEWmOK3q2Qjp08t0R9Sr4BD5J1x_4YOF2ZdOtZ96EX6LmHyhSI6A15KKs-3V2YptmcbuAo2cNfMesSqRHiqcopZ31gQDncVjpcSJn2JBa-rUmXtdvMNoEhDmJRwgKLuko-tptSbNV9qpGhRCGI5hsBRup3V4xXE8I1n8fgcl-w'],"185 Montague Street, Brooklyn"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,777,0,277.9514669379282,2,4,0,15,1,['CmRaAAAAH9Iv6WILYQ_GYVpRZPnsRc36h5cxnnBuG_8XX0vEacWNLWd1Kam59LqrOdi-QSgT-5-yJUZYYP-KLjgphR4rKDqg2ev4gKD6U6g2AMqoquO5idY-N-xWaeeK5sSwwMz2EhDp5FgPLC0cG7rWySt_61nDGhQV8K3nEp4xz9hmg6yaqUjRn-IbVQ'],"345 Adams Street, Brooklyn"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,777,0,277.9514669379282,2,4,0,45,1,['CmRaAAAAH9Iv6WILYQ_GYVpRZPnsRc36h5cxnnBuG_8XX0vEacWNLWd1Kam59LqrOdi-QSgT-5-yJUZYYP-KLjgphR4rKDqg2ev4gKD6U6g2AMqoquO5idY-N-xWaeeK5sSwwMz2EhDp5FgPLC0cG7rWySt_61nDGhQV8K3nEp4xz9hmg6yaqUjRn-IbVQ'],"345 Adams Street, Brooklyn"
ChIJyY3tyZVbwokR-ZkiDeLq_vo,Amarachi,783,0,424.3887792825564,2,4.1,0,15,0,['CmRaAAAA0OHhriE88h5iWIXBzkUtyHezvZ3bCSZTMpSrZKAPptnfP-LE9mKNJY4r7A7tjE6UEbMC3KNKxDpR7BhhYEJfSty0sBGTVl6YZMfDDv20obsbg4BePGOwzpQHc0obLT9JEhDiVigGxj5ZmaXuBo78LKsTGhTl-X7Mjn1CiWtbCMuNgoOJamvOmw'],"189 Bridge Street, Brooklyn"
ChIJyY3tyZVbwokR-ZkiDeLq_vo,Amarachi,783,0,424.3887792825564,2,4.1,0,15,0,['CmRaAAAA0OHhriE88h5iWIXBzkUtyHezvZ3bCSZTMpSrZKAPptnfP-LE9mKNJY4r7A7tjE6UEbMC3KNKxDpR7BhhYEJfSty0sBGTVl6YZMfDDv20obsbg4BePGOwzpQHc0obLT9JEhDiVigGxj5ZmaXuBo78LKsTGhTl-X7Mjn1CiWtbCMuNgoOJamvOmw'],"189 Bridge Street, Brooklyn"
ChIJSewXH0lawokRd-0KiJE8dEI,Perelandra Natural Food Center,489,0,463.2643726090766,2,4.5,0,20,1,['CmRaAAAADlK5e1D6a8D5G8akNBOdiIRYpdh0RS7BMXTKLtvoCFo4ENCuD7X0VeHFZKwzbKwr2IfNNyGkhMfIO9xKo7XWNESElBa6sPcw98fm85vmgCGCjBBc-EKL_YniZPryc7jKEhAzgGZ7ehnRqffO-rU3g7_8GhT0UekqrtjGqGkOF7VrMr5dEQbYUw'],"175 Remsen Street, Brooklyn"
ChIJSewXH0lawokRd-0KiJE8dEI,Perelandra Natural Food Center,489,0,463.2643726090766,2,4.5,0,20,1,['CmRaAAAADlK5e1D6a8D5G8akNBOdiIRYpdh0RS7BMXTKLtvoCFo4ENCuD7X0VeHFZKwzbKwr2IfNNyGkhMfIO9xKo7XWNESElBa6sPcw98fm85vmgCGCjBBc-EKL_YniZPryc7jKEhAzgGZ7ehnRqffO-rU3g7_8GhT0UekqrtjGqGkOF7VrMr5dEQbYUw'],"175 Remsen Street, Brooklyn"
ChIJn6HFQ0xawokRXMlJK1gBZD8,Dallas BBQ,3241,0,484.4643497225012,2,4.1,0,60,0,['CmRaAAAAe45amLQSR6TUf6NlMqhWEwt7CEx9-2XPtBUWBqlfI4BKMZeutmybk5FNOBxxmRJ9T129OgiCGlg2OUfwpazilsvbkJOlI_8Ca0eBKe3eQJjgSEnZ97sEmU2wBB-c5MsfEhB1YHNbndgurN0SP_CImqhIGhRZpGNTJIR2gIcTU-x3ObmP6v6q2g'],"180 Livingston Street, Brooklyn"
ChIJn6HFQ0xawokRXMlJK1gBZD8,Dallas BBQ,3241,0,484.4643497225012,2,4.1,0,120,0,['CmRaAAAAe45amLQSR6TUf6NlMqhWEwt7CEx9-2XPtBUWBqlfI4BKMZeutmybk5FNOBxxmRJ9T129OgiCGlg2OUfwpazilsvbkJOlI_8Ca0eBKe3eQJjgSEnZ97sEmU2wBB-c5MsfEhB1YHNbndgurN0SP_CImqhIGhRZpGNTJIR2gIcTU-x3ObmP6v6q2g'],"180 Livingston Street, Brooklyn"
ChIJDVfJ5UpawokR4E6oY3pMn-c,Luciano's,368,0,98.08216180420654,2,4.1,1.0,15,0,['CmRaAAAABAHzLoeMJb9knGwigleXsRRtK1yc5VZGViPaS_Rv433YYLjlOrIiONA0T11ZPFs0bCNwnG1-fEzccvL_fHUUIXT1ICetLh65krltZFt4gTKlfLsBZxaHttjxUQ8HPn9LEhBkaBu7_nrkxCBvXeZpRJ7yGhQHl-aObu5FJJhOXHMZrXTs5S3YiA'],"15 MetroTech Center, Brooklyn"
ChIJDVfJ5UpawokR4E6oY3pMn-c,Luciano's,368,0,98.08216180420654,2,4.1,1.0,15,0,['CmRaAAAABAHzLoeMJb9knGwigleXsRRtK1yc5VZGViPaS_Rv433YYLjlOrIiONA0T11ZPFs0bCNwnG1-fEzccvL_fHUUIXT1ICetLh65krltZFt4gTKlfLsBZxaHttjxUQ8HPn9LEhBkaBu7_nrkxCBvXeZpRJ7yGhQHl-aObu5FJJhOXHMZrXTs5S3YiA'],"15 MetroTech Center, Brooklyn"
ChIJry7c3kpawokR8HoRfwN_cUk,Au Bon Pain,136,0,89.42110776694327,2,3.8,0,15,1,['CmRZAAAAaYPvyT4Uj3a7fZPEw2KORc8Oc2b59efVSnSUl1k1rnRGqB5MjFdyMyo7ONSFPW-opOUaIF9RByrhBhJtfdDyP39x4lo1yY_SGI6IO1IwWiXz6EzP2447-Sx3tQjHhJIVEhCvQE_A1jgC5CQ34wRiPNHsGhSbOw8HqACbnQBM6GSp5thYBADBRA'],"70 Myrtle Avenue, Brooklyn"
ChIJry7c3kpawokR8HoRfwN_cUk,Au Bon Pain,136,0,89.42110776694327,2,3.8,0,15,1,['CmRZAAAAaYPvyT4Uj3a7fZPEw2KORc8Oc2b59efVSnSUl1k1rnRGqB5MjFdyMyo7ONSFPW-opOUaIF9RByrhBhJtfdDyP39x4lo1yY_SGI6IO1IwWiXz6EzP2447-Sx3tQjHhJIVEhCvQE_A1jgC5CQ34wRiPNHsGhSbOw8HqACbnQBM6GSp5thYBADBRA'],"70 Myrtle Avenue, Brooklyn"
ChIJVxvHKrNbwokRv5bhaOc_9ZA,Papa John's Pizza,128,0,281.58714880619954,1,3.7,0,15,1,['CmRaAAAAv_8u3beo0cEsdyzo8Ij_ZutCn-LlkrhFRcJBOVSWzLWG5-ny7pQVXekxJRr8jswNN4LowRchvcR_IftSZiOLNpirg1QIn15AcHKxpFnhPmBNSz_9FrG6URo046CoFEukEhBL09rwQJ_-mODYgOk_kfspGhTm2eBYoDLhPMj80E2wF7QVYQmRRQ'],"148 Lawrence Street, Brooklyn"
ChIJVxvHKrNbwokRv5bhaOc_9ZA,Papa John's Pizza,128,0,281.58714880619954,1,3.7,0,15,1,['CmRaAAAAv_8u3beo0cEsdyzo8Ij_ZutCn-LlkrhFRcJBOVSWzLWG5-ny7pQVXekxJRr8jswNN4LowRchvcR_IftSZiOLNpirg1QIn15AcHKxpFnhPmBNSz_9FrG6URo046CoFEukEhBL09rwQJ_-mODYgOk_kfspGhTm2eBYoDLhPMj80E2wF7QVYQmRRQ'],"148 Lawrence Street, Brooklyn"
ChIJdfjOPUtawokRdQoBDFPFwnA,New Golden Fried Dumpling,275,0,254.77396247578866,1,4.1,0,25,0,['CmRaAAAAGYVNHMM2KKfRa4bGYlxZEdZk7GeNd4aNySu_9eylNtNx9xyeK2cjvWgnqfLZDAnm_pcqcmHzpyrsP1Pj2cNgD-qVHg-SB513kta_6o1QqLEM1E0CbgcM6aevlNIhH9CVEhDgNVFJMcvedABFzhyKQeLfGhTMLIwM5UlTlGMM--oBIJy2G5mUsQ'],"192 Duffield Street, Brooklyn"
ChIJdfjOPUtawokRdQoBDFPFwnA,New Golden Fried Dumpling,275,0,254.77396247578866,1,4.1,0,25,0,['CmRaAAAAGYVNHMM2KKfRa4bGYlxZEdZk7GeNd4aNySu_9eylNtNx9xyeK2cjvWgnqfLZDAnm_pcqcmHzpyrsP1Pj2cNgD-qVHg-SB513kta_6o1QqLEM1E0CbgcM6aevlNIhH9CVEhDgNVFJMcvedABFzhyKQeLfGhTMLIwM5UlTlGMM--oBIJy2G5mUsQ'],"192 Duffield Street, Brooklyn"
ChIJJR5n-UtawokRNv3INOzBA9w,Burger King,1126,0,317.25310829763026,1,3.6,0,15,1,['CmRaAAAAG_Ix9gczyOt2SuPETfkLlZNVzm1eFshENfvYNv8dC-QdFPCOVb3vmIiPsbGTQATVRGAugCnA_E0siNSgtKZH6E0iB0-Zhitxh9vbQY22R2scU9QqaheMsjoIJuO8cXvgEhC3FVU5L7Co6c3bP8iWj61oGhTmcJkk9GbD_WE7tt-aEZM8MT4QWA'],"417-21 Fulton Street, Brooklyn"
ChIJJR5n-UtawokRNv3INOzBA9w,Burger King,1126,0,317.25310829763026,1,3.6,0,45,1,['CmRaAAAAG_Ix9gczyOt2SuPETfkLlZNVzm1eFshENfvYNv8dC-QdFPCOVb3vmIiPsbGTQATVRGAugCnA_E0siNSgtKZH6E0iB0-Zhitxh9vbQY22R2scU9QqaheMsjoIJuO8cXvgEhC3FVU5L7Co6c3bP8iWj61oGhTmcJkk9GbD_WE7tt-aEZM8MT4QWA'],"417-21 Fulton Street, Brooklyn"
ChIJLZ5Y5EpawokRwrC_CjF8-1U,Cafe Metro,142,0,105.7618442427905,2,3.6,0,15,0,['CmRaAAAAPb73FWbYOlruW_X1OAMmHGQBuzwUZIy-OZggumr72TopAFt9cE14XeSi3AWRLZNvx0T13Ny4LEW_6_IT-xDXDbuEAUCYEQ0f7NrorNw_AIqLC18T1QXuHa1LUwrmrYSVEhDgxMd5a932_lqltlaTf43OGhQVn-LCvZKTkmoeGNaw_FRcIcQ9FQ'],"15 MetroTech Center, Brooklyn"
ChIJLZ5Y5EpawokRwrC_CjF8-1U,Cafe Metro,142,0,105.7618442427905,2,3.6,0,15,0,['CmRaAAAAPb73FWbYOlruW_X1OAMmHGQBuzwUZIy-OZggumr72TopAFt9cE14XeSi3AWRLZNvx0T13Ny4LEW_6_IT-xDXDbuEAUCYEQ0f7NrorNw_AIqLC18T1QXuHa1LUwrmrYSVEhDgxMd5a932_lqltlaTf43OGhQVn-LCvZKTkmoeGNaw_FRcIcQ9FQ'],"15 MetroTech Center, Brooklyn"
ChIJxey7dktawokRB5fQY8RKEKQ,Tio Pio,189,0,263.50975992056806,1,3.8,0,15,0,['CmRaAAAAYZrAYp-RdWAtXlW31gvR9RkeO-LrA-KOxQAK-Tey4GhLS3dl5fqjtdBfScUyPbgN3GKw1K-UFgKRvEfwIAmgvoAlx_mSBIYhP8d1CC7I_TDwJ0qZnmlmfamg_9-jXGSCEhBTf45FVqDknjTSo-02N8lgGhT63X-9SvTnQwVf10cBifCmSPR9cQ'],"78 Willoughby Street, Brooklyn"
ChIJxey7dktawokRB5fQY8RKEKQ,Tio Pio,189,0,263.50975992056806,1,3.8,0,15,0,['CmRaAAAAYZrAYp-RdWAtXlW31gvR9RkeO-LrA-KOxQAK-Tey4GhLS3dl5fqjtdBfScUyPbgN3GKw1K-UFgKRvEfwIAmgvoAlx_mSBIYhP8d1CC7I_TDwJ0qZnmlmfamg_9-jXGSCEhBTf45FVqDknjTSo-02N8lgGhT63X-9SvTnQwVf10cBifCmSPR9cQ'],"78 Willoughby Street, Brooklyn"
ChIJAZlcfExawokRaJXt0bk15dQ,McDonald's,1016,0,398.62017202988864,1,3.4,0,25,1,['CmRaAAAAKl5w4t4DSn9M7_ZPxaVqTqXXNkC35bp9cC5MvDE0yao9S7dVIpH4S1znJ8v29jMWNmEMyqwtXf3Fwngl6biTEGDjKsmRyp2En9s3LD1NdGCdjVZdW7Ahbb_Bm2lg053CEhBR3SZr7Lgw-lVd2S_mdkW3GhQ4HRkshMXhbq0tP7pjDWTBA8d-tg'],"420 Fulton Street, Brooklyn"
ChIJAZlcfExawokRaJXt0bk15dQ,McDonald's,1016,0,398.62017202988864,1,3.4,0,25,1,['CmRaAAAAKl5w4t4DSn9M7_ZPxaVqTqXXNkC35bp9cC5MvDE0yao9S7dVIpH4S1znJ8v29jMWNmEMyqwtXf3Fwngl6biTEGDjKsmRyp2En9s3LD1NdGCdjVZdW7Ahbb_Bm2lg053CEhBR3SZr7Lgw-lVd2S_mdkW3GhQ4HRkshMXhbq0tP7pjDWTBA8d-tg'],"420 Fulton Street, Brooklyn"
ChIJcaW3XktawokRGLFw87g8Esk,Brooklyn Brewhouse,388,1,377.9055548887622,2,3.9,0,15,0,['CmRaAAAAEckxL3dUQoJKjYMKS2ul_2gvuGjC-K85CD3zFnOOYtv_9sqDhbVvXtRCbfs_xTsikvg8t7aextTf8wdtgFbslhvaqW2sXskc-3MDobhW4mPJpJdburldP_hJx8hvKJUOEhA9JNSwBPhSR9QYna79CuFvGhSkN-YIjGSPFLFx4aJ4z8yS2N_FkA'],"229 Duffield Street, Brooklyn"
ChIJcaW3XktawokRGLFw87g8Esk,Brooklyn Brewhouse,388,1,377.9055548887622,2,3.9,0,15,0,['CmRaAAAAEckxL3dUQoJKjYMKS2ul_2gvuGjC-K85CD3zFnOOYtv_9sqDhbVvXtRCbfs_xTsikvg8t7aextTf8wdtgFbslhvaqW2sXskc-3MDobhW4mPJpJdburldP_hJx8hvKJUOEhA9JNSwBPhSR9QYna79CuFvGhSkN-YIjGSPFLFx4aJ4z8yS2N_FkA'],"229 Duffield Street, Brooklyn"
ChIJEb4n_kpawokRfn3mDV5WiEE,Five Guys,780,0,88.18058556802853,2,4.2,0,30,1,['CmRaAAAAR-2pz28z6GRW-deoDwqMnEZQ0tBa5-v1Yd3TwDf1ehphStCnQ6sqbWKYMPOvI1-4qX6H1v6ZWLrHprFcjBZ2p0P271MtWoP-BK_F6BF-VPpW-1W4tmVv-scKmOp9YlDGEhCnBkghcXU0TLj89Y0AmGAaGhR6glYKKsaS1B1RJAMjked4TY-m7w'],"2 MetroTech Center, Brooklyn"
ChIJEb4n_kpawokRfn3mDV5WiEE,Five Guys,780,0,88.18058556802853,2,4.2,0,30,1,['CmRaAAAAR-2pz28z6GRW-deoDwqMnEZQ0tBa5-v1Yd3TwDf1ehphStCnQ6sqbWKYMPOvI1-4qX6H1v6ZWLrHprFcjBZ2p0P271MtWoP-BK_F6BF-VPpW-1W4tmVv-scKmOp9YlDGEhCnBkghcXU0TLj89Y0AmGAaGhR6glYKKsaS1B1RJAMjked4TY-m7w'],"2 MetroTech Center, Brooklyn"
ChIJN-hAzIhZwokRjktj8DUn2tg,Eight Turn Crepe,93,0,436.4676757110632,2,4.6,0,15,1,['CmRaAAAAaJKKvF-N23tejhYfMJPpBqu_CcKZeC4BNAACR1Ti_9YgwE-6UcBXWJGQ-ioe3QK676lMJzl5s-DQzoarQHfYc_zZFKBdfS8NG0ZWLhBPeiWIHnnkKYJx43X8vlJQPVrPEhBwOmmvg-8E5QgbheEiXQBkGhSdfEyjss77PJYm3m-SAOMMpm0PBQ'],"445 Albee Square West, New York"
ChIJN-hAzIhZwokRjktj8DUn2tg,Eight Turn Crepe,93,0,436.4676757110632,2,4.6,0,15,1,['CmRaAAAAaJKKvF-N23tejhYfMJPpBqu_CcKZeC4BNAACR1Ti_9YgwE-6UcBXWJGQ-ioe3QK676lMJzl5s-DQzoarQHfYc_zZFKBdfS8NG0ZWLhBPeiWIHnnkKYJx43X8vlJQPVrPEhBwOmmvg-8E5QgbheEiXQBkGhSdfEyjss77PJYm3m-SAOMMpm0PBQ'],"445 Albee Square West, New York"
ChIJP2pPsEtawokRjMegmwdqPRo,Chipotle Mexican Grill,461,0,86.37459745688966,1,3.9,0,25,0,['CmRaAAAAwmffwWWREMiBxGoi-CPsAQom18PjwEazH8AG0fTiDy7oUcj3hex1d2TlOjZsjMnwvOok5ddJcH6rbW6KaCJgUaRonHuOIkBasMYP2HhLcvl7H4QQvCieO4taGW52YT-CEhA5lu-ywBnnOjP7T0k0-fi3GhRbTx3lbi2L8qe9sFTiUtvBjCCsHg'],"1 MetroTech Center, Brooklyn"
ChIJP2pPsEtawokRjMegmwdqPRo,Chipotle Mexican Grill,461,0,86.37459745688966,1,3.9,0,25,0,['CmRaAAAAwmffwWWREMiBxGoi-CPsAQom18PjwEazH8AG0fTiDy7oUcj3hex1d2TlOjZsjMnwvOok5ddJcH6rbW6KaCJgUaRonHuOIkBasMYP2HhLcvl7H4QQvCieO4taGW52YT-CEhA5lu-ywBnnOjP7T0k0-fi3GhRbTx3lbi2L8qe9sFTiUtvBjCCsHg'],"1 MetroTech Center, Brooklyn"
ChIJuw1VZ0tawokRJbjRretbzwM,Sheraton Brooklyn New York Hotel,1485,1,337.82171965375534,2,4,0,15,1,['CmRaAAAAPw0kp8RJ7HRjUbvUvH_QGIWYWAGYzhSGBvuLytS0XV4IInL7LkutCMDf8HEV53o7dg9VRMFBy7PkPPfCTxUmCvCCpKRQdD-oJIhHLUOtbTirMafYyBYEjLa4PbqwjVnqEhCUVyxfS_6ytrBeOgu7dPRJGhRgBsHsXE8vj3CBZXKwfPjcrEq1nQ'],"228 Duffield Street, Brooklyn"
ChIJuw1VZ0tawokRJbjRretbzwM,Sheraton Brooklyn New York Hotel,1485,1,337.82171965375534,2,4,0,15,1,['CmRaAAAAPw0kp8RJ7HRjUbvUvH_QGIWYWAGYzhSGBvuLytS0XV4IInL7LkutCMDf8HEV53o7dg9VRMFBy7PkPPfCTxUmCvCCpKRQdD-oJIhHLUOtbTirMafYyBYEjLa4PbqwjVnqEhCUVyxfS_6ytrBeOgu7dPRJGhRgBsHsXE8vj3CBZXKwfPjcrEq1nQ'],"228 Duffield Street, Brooklyn"
ChIJUSwK_UtawokRSrPzsarZbUI,Shake Shack,3087,0,322.0435014092503,2,4.3,0,30,0,['CmRaAAAAjVd2mQx2Xz-R8GFW260EYJA3Nad85WrwCHiM15AyD_wqfZD5lZwSB780HPXXyeAmVktsbGZOHwFpmjSmkuG0AZc28zV4EzMemSEyHreWhQ-15QpLSl0amQnABCbn9fEaEhAGrd-kiTkKY_YwmnJ8-REEGhTBJaZFPyLWtn-euHwTVIWTBZmPUw'],"409 Fulton Street, Brooklyn"
ChIJUSwK_UtawokRSrPzsarZbUI,Shake Shack,3087,0,322.0435014092503,2,4.3,0,30,0,['CmRaAAAAjVd2mQx2Xz-R8GFW260EYJA3Nad85WrwCHiM15AyD_wqfZD5lZwSB780HPXXyeAmVktsbGZOHwFpmjSmkuG0AZc28zV4EzMemSEyHreWhQ-15QpLSl0amQnABCbn9fEaEhAGrd-kiTkKY_YwmnJ8-REEGhTBJaZFPyLWtn-euHwTVIWTBZmPUw'],"409 Fulton Street, Brooklyn"
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,436,0,425.86112822668093,2,4.2,0,20,0,['CmRaAAAA07-Dd3vJcbCTlo-y6Hc5lvP3FwZ-c9q7EzI3BcdC80Dr6-fkeQ8tQOoFaq1ra6wY6jns7TUjWolfFs9dC3OVORmzQUlou3mbDN-jh80r4zFO47_Pyr94-k_dbGil7SqiEhCOmGusd4yOEZ-7UgfdKhXrGhS1iuy0QU6DyoEqEXieGa1spQUhtQ'],"27 Smith Street, Brooklyn"
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,436,0,425.86112822668093,2,4.2,0,20,0,['CmRaAAAA07-Dd3vJcbCTlo-y6Hc5lvP3FwZ-c9q7EzI3BcdC80Dr6-fkeQ8tQOoFaq1ra6wY6jns7TUjWolfFs9dC3OVORmzQUlou3mbDN-jh80r4zFO47_Pyr94-k_dbGil7SqiEhCOmGusd4yOEZ-7UgfdKhXrGhS1iuy0QU6DyoEqEXieGa1spQUhtQ'],"27 Smith Street, Brooklyn"
ChIJ5be_-0hawokR5TcyaTRDaL4,Chipotle Mexican Grill,600,0,483.52139917269545,1,4,0,30,1,['CmRaAAAAQ0fEZqttTajRnEWmOK3q2Qjp08t0R9Sr4BD5J1x_4YOF2ZdOtZ96EX6LmHyhSI6A15KKs-3V2YptmcbuAo2cNfMesSqRHiqcopZ31gQDncVjpcSJn2JBa-rUmXtdvMNoEhDmJRwgKLuko-tptSbNV9qpGhRCGI5hsBRup3V4xXE8I1n8fgcl-w'],"185 Montague Street, Brooklyn"
ChIJ5be_-0hawokR5TcyaTRDaL4,Chipotle Mexican Grill,600,0,483.52139917269545,1,4,0,90,1,['CmRaAAAAQ0fEZqttTajRnEWmOK3q2Qjp08t0R9Sr4BD5J1x_4YOF2ZdOtZ96EX6LmHyhSI6A15KKs-3V2YptmcbuAo2cNfMesSqRHiqcopZ31gQDncVjpcSJn2JBa-rUmXtdvMNoEhDmJRwgKLuko-tptSbNV9qpGhRCGI5hsBRup3V4xXE8I1n8fgcl-w'],"185 Montague Street, Brooklyn"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,777,0,277.9514669379282,2,4,0,15,1,['CmRaAAAAH9Iv6WILYQ_GYVpRZPnsRc36h5cxnnBuG_8XX0vEacWNLWd1Kam59LqrOdi-QSgT-5-yJUZYYP-KLjgphR4rKDqg2ev4gKD6U6g2AMqoquO5idY-N-xWaeeK5sSwwMz2EhDp5FgPLC0cG7rWySt_61nDGhQV8K3nEp4xz9hmg6yaqUjRn-IbVQ'],"345 Adams Street, Brooklyn"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,777,0,277.9514669379282,2,4,0,45,1,['CmRaAAAAH9Iv6WILYQ_GYVpRZPnsRc36h5cxnnBuG_8XX0vEacWNLWd1Kam59LqrOdi-QSgT-5-yJUZYYP-KLjgphR4rKDqg2ev4gKD6U6g2AMqoquO5idY-N-xWaeeK5sSwwMz2EhDp5FgPLC0cG7rWySt_61nDGhQV8K3nEp4xz9hmg6yaqUjRn-IbVQ'],"345 Adams Street, Brooklyn"
ChIJyY3tyZVbwokR-ZkiDeLq_vo,Amarachi,783,0,424.3887792825564,2,4.1,0,15,0,['CmRaAAAA0OHhriE88h5iWIXBzkUtyHezvZ3bCSZTMpSrZKAPptnfP-LE9mKNJY4r7A7tjE6UEbMC3KNKxDpR7BhhYEJfSty0sBGTVl6YZMfDDv20obsbg4BePGOwzpQHc0obLT9JEhDiVigGxj5ZmaXuBo78LKsTGhTl-X7Mjn1CiWtbCMuNgoOJamvOmw'],"189 Bridge Street, Brooklyn"
ChIJyY3tyZVbwokR-ZkiDeLq_vo,Amarachi,783,0,424.3887792825564,2,4.1,0,15,0,['CmRaAAAA0OHhriE88h5iWIXBzkUtyHezvZ3bCSZTMpSrZKAPptnfP-LE9mKNJY4r7A7tjE6UEbMC3KNKxDpR7BhhYEJfSty0sBGTVl6YZMfDDv20obsbg4BePGOwzpQHc0obLT9JEhDiVigGxj5ZmaXuBo78LKsTGhTl-X7Mjn1CiWtbCMuNgoOJamvOmw'],"189 Bridge Street, Brooklyn"
ChIJSewXH0lawokRd-0KiJE8dEI,Perelandra Natural Food Center,489,0,463.2643726090766,2,4.5,0,20,1,['CmRaAAAADlK5e1D6a8D5G8akNBOdiIRYpdh0RS7BMXTKLtvoCFo4ENCuD7X0VeHFZKwzbKwr2IfNNyGkhMfIO9xKo7XWNESElBa6sPcw98fm85vmgCGCjBBc-EKL_YniZPryc7jKEhAzgGZ7ehnRqffO-rU3g7_8GhT0UekqrtjGqGkOF7VrMr5dEQbYUw'],"175 Remsen Street, Brooklyn"
ChIJSewXH0lawokRd-0KiJE8dEI,Perelandra Natural Food Center,489,0,463.2643726090766,2,4.5,0,20,1,['CmRaAAAADlK5e1D6a8D5G8akNBOdiIRYpdh0RS7BMXTKLtvoCFo4ENCuD7X0VeHFZKwzbKwr2IfNNyGkhMfIO9xKo7XWNESElBa6sPcw98fm85vmgCGCjBBc-EKL_YniZPryc7jKEhAzgGZ7ehnRqffO-rU3g7_8GhT0UekqrtjGqGkOF7VrMr5dEQbYUw'],"175 Remsen Street, Brooklyn"
ChIJn6HFQ0xawokRXMlJK1gBZD8,Dallas BBQ,3241,0,484.4643497225012,2,4.1,0,60,0,['CmRaAAAAe45amLQSR6TUf6NlMqhWEwt7CEx9-2XPtBUWBqlfI4BKMZeutmybk5FNOBxxmRJ9T129OgiCGlg2OUfwpazilsvbkJOlI_8Ca0eBKe3eQJjgSEnZ97sEmU2wBB-c5MsfEhB1YHNbndgurN0SP_CImqhIGhRZpGNTJIR2gIcTU-x3ObmP6v6q2g'],"180 Livingston Street, Brooklyn"
ChIJn6HFQ0xawokRXMlJK1gBZD8,Dallas BBQ,3241,0,484.4643497225012,2,4.1,0,120,0,['CmRaAAAAe45amLQSR6TUf6NlMqhWEwt7CEx9-2XPtBUWBqlfI4BKMZeutmybk5FNOBxxmRJ9T129OgiCGlg2OUfwpazilsvbkJOlI_8Ca0eBKe3eQJjgSEnZ97sEmU2wBB-c5MsfEhB1YHNbndgurN0SP_CImqhIGhRZpGNTJIR2gIcTU-x3ObmP6v6q2g'],"180 Livingston Street, Brooklyn"
ChIJDVfJ5UpawokR4E6oY3pMn-c,Luciano's,368,0,98.08216180420654,2,4.1,1.0,15,0,['CmRaAAAABAHzLoeMJb9knGwigleXsRRtK1yc5VZGViPaS_Rv433YYLjlOrIiONA0T11ZPFs0bCNwnG1-fEzccvL_fHUUIXT1ICetLh65krltZFt4gTKlfLsBZxaHttjxUQ8HPn9LEhBkaBu7_nrkxCBvXeZpRJ7yGhQHl-aObu5FJJhOXHMZrXTs5S3YiA'],"15 MetroTech Center, Brooklyn"
